Elapsed time,ax,ay,az,temp,EDA
'0:00.000',0.44000671,-1.20002167,0.13004944,24.90003662,0.07100108
'0:00.125',0.51000092,-0.82001724,0.38998398,24.90003662,0.06900105
'0:00.250',0.64001892,-0.35003677,0.61995346,24.90003662,0.06900105
'0:00.375',0.81001923,-0.14004395,0.58998840,24.90003662,0.06900105
'0:00.500',0.89995422,-0.27000122,0.50995376,24.90003662,0.07100108
'0:00.625',0.83998077,-0.41004517,0.54999847,24.90003662,0.06800104
'0:00.750',0.85997192,-0.37006394,0.55996857,24.90003662,0.07100108
'0:00.875',0.85997192,-0.42005875,0.56999344,24.90003662,0.07100108
'0:01.000',0.85997192,-0.41004517,0.56999344,24.90003662,0.06900105
'0:01.125',0.83998077,-0.43007233,0.49998367,24.90003662,0.07100108
'0:01.250',0.85997192,-0.37006394,0.40997894,24.90003662,0.06900105
'0:01.375',0.64001892,-0.51003479,0.60998337,24.90003662,0.06900105
'0:01.500',0.04003265,-0.80006317,0.62997833,24.90003662,0.07100108
'0:01.625',-0.30998871,-0.93002045,0.15004440,24.90003662,0.06900105
'0:01.750',-0.23999451,-1.18006760,-0.04996002,24.90003662,0.07100108
'0:01.875',-0.68997162,-1.41001450,-0.04996002,24.90003662,0.07100108
'0:02.000',-0.19996185,-1.01005600,-0.09997482,24.90003662,0.06900105
'0:02.125',-0.14995880,-1.00004242,-0.09997482,24.90003662,0.06900105
'0:02.250',-0.26995605,-0.87001205,-0.07997986,24.90003662,0.07100108
'0:02.375',-0.08998535,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:02.500',-0.03998230,-1.02006958,-0.07997986,24.90003662,0.07100108
'0:02.625',-0.14995880,-0.99002884,-0.09997482,24.90003662,0.06900105
'0:02.750',-0.08998535,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:02.875',-0.09995575,-1.00004242,-0.09997482,24.90003662,0.07100108
'0:03.000',-0.09995575,-1.01005600,-0.09997482,24.90003662,0.07100108
'0:03.125',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:03.250',-0.09995575,-1.00004242,-0.07997986,24.90003662,0.06900105
'0:03.375',-0.09995575,-1.01005600,-0.10999969,24.90003662,0.07100108
'0:03.500',-0.09995575,-1.01005600,-0.09997482,25.10009308,0.07100108
'0:03.625',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:03.750',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:03.875',-0.09995575,-1.00004242,-0.09997482,24.90003662,0.07100108
'0:04.000',-0.10997650,-1.01005600,-0.09997482,24.90003662,0.07100108
'0:04.125',-0.08998535,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:04.250',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.06900105
'0:04.375',-0.09995575,-1.00004242,-0.09997482,24.90003662,0.06900105
'0:04.500',-0.08998535,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:04.625',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:04.750',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:04.875',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:05.000',-0.08998535,-1.01005600,-0.10999969,24.90003662,0.07100108
'0:05.125',-0.08998535,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:05.250',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:05.375',-0.09995575,-1.01005600,-0.09997482,25.10009308,0.06900105
'0:05.500',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:05.625',-0.09995575,-1.00004242,-0.10999969,24.90003662,0.07100108
'0:05.750',-0.09995575,-1.01005600,-0.09997482,25.10009308,0.07100108
'0:05.875',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:06.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:06.125',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:06.250',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:06.375',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:06.500',-0.08998535,-1.01005600,-0.10999969,24.90003662,0.07100108
'0:06.625',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:06.750',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:06.875',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:07.000',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:07.125',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:07.250',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:07.375',-0.10997650,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:07.500',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:07.625',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:07.750',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:07.875',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.125',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.250',-0.10997650,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.375',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.06800104
'0:08.500',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:08.625',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.750',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:08.875',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:09.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.125',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.250',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.375',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.500',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.625',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:09.750',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:09.875',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:10.000',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:10.125',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:10.250',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:10.375',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:10.500',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:10.625',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:10.750',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:10.875',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.125',-0.09995575,-1.00004242,-0.09997482,25.10009308,0.07100108
'0:11.250',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.375',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.500',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:11.625',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.750',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:11.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:12.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:12.125',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:12.250',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:12.375',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:12.500',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:12.625',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:12.750',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:12.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:13.000',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:13.125',-0.09995575,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:13.250',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:13.375',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:13.500',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:13.625',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:13.750',-0.08998535,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:13.875',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:14.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:14.125',-0.09995575,-1.00004242,-0.10999969,25.10009308,0.07100108
'0:14.250',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:14.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:14.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:14.625',-0.10997650,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:14.750',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:14.875',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:15.000',-0.08998535,-1.01005600,-0.10999969,25.10009308,0.07100108
'0:15.125',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:15.250',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:15.375',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:15.500',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:15.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:15.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:15.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:16.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:16.125',-0.09995575,-1.00004242,-0.09997482,25.30005036,0.07100108
'0:16.250',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:16.375',-0.08998535,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:16.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:16.625',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:16.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:16.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.125',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.250',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:17.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.500',-0.08998535,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:17.750',-0.08998535,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:17.875',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:18.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.125',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.250',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.06900105
'0:18.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:18.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.125',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.250',-0.09995575,-1.01005600,-0.11996979,25.30005036,0.07100108
'0:19.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:19.875',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:20.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.125',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.250',-0.10997650,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.500',-0.09995575,-1.01005600,-0.12999466,25.30005036,0.07100108
'0:20.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.750',-0.10997650,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:20.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:21.000',-0.10997650,-1.01005600,-0.11996979,25.30005036,0.07100108
'0:21.125',-0.10997650,-1.00004242,-0.10999969,25.60008545,0.07100108
'0:21.250',-0.10997650,-1.00004242,-0.10999969,25.60008545,0.07100108
'0:21.375',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:21.500',-0.10997650,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:21.625',-0.11999725,-1.00004242,-0.10999969,25.60008545,0.07100108
'0:21.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:21.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:22.000',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:22.125',-0.09995575,-1.00004242,-0.10999969,25.60008545,0.07100108
'0:22.250',-0.09995575,-1.00004242,-0.10999969,25.60008545,0.07100108
'0:22.375',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:22.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:22.625',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:22.750',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:22.875',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:23.000',-0.10997650,-1.00004242,-0.10999969,25.30005036,0.07100108
'0:23.125',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:23.250',-0.09995575,-1.01005600,-0.09997482,25.30005036,0.07100108
'0:23.375',-0.09995575,-1.01005600,-0.10999969,25.30005036,0.07100108
'0:23.500',-0.09995575,-1.00004242,-0.10999969,25.30005036,0.07100108
