Elapsed time,ax,ay,az,temp,EDA
'0:00.000',0.91998901,-0.72000000,-0.07002777,26.40001373,1.10304129
'0:00.125',0.92997955,-0.73004730,-0.12000214,26.40001373,1.10700021
'0:00.250',0.94996063,-0.67004730,-0.10003967,26.40001373,1.10700021
'0:00.375',0.96999542,-0.74003784,-0.08003174,26.40001373,1.10700021
'0:00.500',0.97998596,-0.65000946,-0.06002380,26.40001373,1.09704941
'0:00.625',0.97998596,-0.62003784,-0.14001007,26.40001373,1.09704941
'0:00.750',0.87997314,-0.67004730,-0.20003388,26.40001373,1.09405347
'0:00.875',0.89995422,-0.71000946,-0.21003784,26.60001679,1.08704511
'0:01.000',1.01994812,-0.65000946,-0.13000610,26.40001373,1.09405347
'0:01.125',0.96999542,-0.68003784,-0.07002777,26.40001373,1.09405347
'0:01.250',0.93997009,-0.71000946,-0.16001801,26.40001373,1.09405347
'0:01.375',0.91998901,-0.75002838,-0.19002991,26.40001373,1.09405347
'0:01.500',0.93997009,-0.72000000,-0.17002197,26.40001373,1.09405347
'0:01.625',0.93997009,-0.73004730,-0.12000214,26.40001373,1.09704941
'0:01.750',0.99996704,-0.75002838,-0.09003571,26.40001373,1.09704941
'0:01.875',0.88996368,-0.79004730,-0.11004364,26.40001373,1.09405347
'0:02.000',0.79999512,-0.84000000,-0.13000610,26.40001373,1.08704511
'0:02.125',0.66002014,-0.91004730,-0.09003571,26.40001373,1.08704511
'0:02.250',0.66002014,-0.94001892,-0.08003174,26.40001373,1.09405347
'0:02.375',0.57005158,-0.98003784,-0.08003174,26.40001373,1.09405347
'0:02.500',0.39000702,-0.95000946,-0.09003571,26.40001373,1.09704941
'0:02.625',0.41004181,-1.06001892,-0.10003967,26.40001373,1.09704941
'0:02.750',0.38001648,-1.02000000,-0.03001190,26.40001373,1.09704941
'0:02.875',0.48002930,-0.99002838,-0.06002380,26.40001373,1.09704941
'0:03.000',0.70003601,-1.02000000,-0.15001404,26.40001373,1.10400427
'0:03.125',0.56000732,-0.96000000,-0.10003967,26.60001679,1.10400427
'0:03.250',0.70003601,-0.94001892,-0.06002380,26.60001679,1.09704941
'0:03.375',0.76996979,-0.88001892,-0.07002777,26.40001373,1.09704941
'0:03.500',0.80998566,-0.83000946,-0.21003784,26.40001373,1.09405347
'0:03.625',0.85999207,-0.78000000,-0.14001007,26.60001679,1.09704941
'0:03.750',0.88996368,-0.78000000,-0.14001007,26.60001679,1.09405347
'0:03.875',0.89995422,-0.73004730,-0.14001007,26.60001679,1.09405347
'0:04.000',0.90999847,-0.75002838,-0.16001801,26.60001679,1.09405347
'0:04.125',0.92997955,-0.73004730,-0.17002197,26.40001373,1.09405347
'0:04.250',0.94996063,-0.68003784,-0.14001007,26.60001679,1.09405347
'0:04.375',0.98997650,-0.67004730,-0.12000214,26.40001373,1.09004105
'0:04.500',0.95995117,-0.68003784,-0.22995483,26.60001679,1.09405347
'0:04.625',0.94996063,-0.67004730,-0.13000610,26.60001679,1.09405347
'0:04.750',0.96999542,-0.67004730,-0.14001007,26.60001679,1.09405347
'0:04.875',1.03998291,-0.61004730,-0.15001404,26.40001373,1.09704941
'0:05.000',0.99996704,-0.64001892,-0.17002197,26.60001679,1.09704941
'0:05.125',0.97998596,-0.63002838,-0.16001801,26.60001679,1.09704941
'0:05.250',0.99996704,-0.61004730,-0.15001404,26.60001679,1.09704941
'0:05.375',1.01994812,-0.61004730,-0.15001404,26.60001679,1.09704941
'0:05.500',0.99996704,-0.62003784,-0.17002197,26.60001679,1.09704941
'0:05.625',0.99996704,-0.63002838,-0.17002197,26.60001679,1.09405347
'0:05.750',0.99996704,-0.63002838,-0.16001801,26.60001679,1.09704941
